,ratio,vsense,Current [mA],Voltage [mV],Power [mW]
245,141.7361,-0.007660605,-0.0007437480582524271,-1.0857842763405,0.0008075499472092636
246,-2591.295,0.0004172277,4.050754368932039e-05,-1.0811600528715,-4.379513807684023e-05
247,205.9842,-0.005270117,-0.0005116618446601942,-1.0855608341514,0.0005554400588927644
248,1990.524,-0.0005498303,-5.338158252427184e-05,-1.0944504080771997,5.8423494777496026e-05
249,97.11321,-0.01121721,-0.0010890495145631067,-1.0893392703441,0.001186344403562771
250,146.1364,-0.007457149,-0.0007239950485436892,-1.0897609091236,0.0007889815023019557
251,76.48891,-0.01415115,-0.001373898058252427,-1.0824060387465,0.0014871155548745177
252,201.368,-0.005274669,-0.000512103786407767,-1.062149547192,0.0005439308048483184
253,427.3298,-0.002487284,-0.00024148388349514563,-1.0628905742632,0.000256670943603463
254,395.9249,-0.002695291,-0.0002616787378640776,-1.0671328196458998,0.0002792459693782734
255,253.0762,-0.004219917,-0.00040970067961165047,-1.0679605586754,0.00043754416668774927
256,-523.2954,0.002042899,0.00019833970873786406,-1.0690396493646,-0.0002120330126842031
257,456.4023,-0.002340724,-0.0002272547572815534,-1.0683118172652002,0.0002427789427336183
258,160.196,-0.006682926,-0.0006488277669902912,-1.070578013496,0.0006946207418855114
259,157.8319,-0.00678913,-0.0006591388349514563,-1.071541287247,0.0007062944756783714
260,-578.5115,0.00184794,0.00017941165048543687,-1.0690545413099999,-0.00019180083971537872
261,182.37,-0.005843616,-0.0005673413592233009,-1.0657002499200001,0.0006046158283142244
262,125.8245,-0.008447572,-0.0008201526213592233,-1.062911523114,0.0008717496719548718
263,157.1786,-0.0067336,-0.0006537475728155339,-1.0583778209599999,0.0006919119315743936
264,253.7013,-0.004184263,-0.0004062391262135922,-1.0615529626419,0.0004312443479730955
265,115.5786,-0.009175824,-0.0008908566990291262,-1.0605288917664,0.0009447792677440325
266,243.7991,-0.004328548,-0.00042024737864077667,-1.0552961067068,0.0004434854225333501
267,215.4399,-0.004953024,-0.00048087611650485436,-1.0670789952576,0.0005131328032433767
268,201.1615,-0.005241898,-0.0005089221359223301,-1.054468064527,0.0005366421396609662
269,144.953,-0.007271748,-0.0007059949514563106,-1.054061687844,0.0007441622301413815
270,187.9748,-0.005574466,-0.0005412102912621359,-1.0478591314568,0.0005671121457374235
271,184.4118,-0.005670808,-0.0005505638834951456,-1.0457639107344001,0.0005757598399130021
272,193.6782,-0.005404844,-0.0005247421359223301,-1.0468004572008,0.0005493003077960194
273,211.7355,-0.004942252,-0.00047983029126213593,-1.0464501983460002,0.0005021185034636812
274,260.2678,-0.004022986,-0.00039058116504854366,-1.0470537156508002,0.0004089594601272961
275,226.9426,-0.004611201,-0.0004476894174757281,-1.0464779440626,0.000468497101178583
276,197.0626,-0.005332474,-0.000517715922330097,-1.0508311908724,0.0005440320391957387
277,217.346,-0.004806767,-0.0004666764077669903,-1.044731580382,0.00048755158101340245
278,94.8402,-0.01101193,-0.0010691194174757281,-1.0443736435859998,0.0011165601414576678
279,206.0307,-0.005036166,-0.0004889481553398058,-1.0376048062962,0.0005073349560102435
280,831.3442,-0.001254111,-0.0001217583495145631,-1.0425979060062,0.00012694500024265453
281,190.9258,-0.005461283,-0.0005302216504854369,-1.0426998258014,0.0005528620225972958
282,199.806,-0.005208216,-0.0005056520388349514,-1.040632806096,0.0005261981000809791
283,210.2973,-0.004961369,-0.00048168631067961164,-1.0433625050037,0.0005025734357366701
284,225.4437,-0.004632745,-0.00044978106796116497,-1.0444231739565,0.0004697617705855441
285,213.256,-0.004959548,-0.0004815095145631068,-1.057653368288,0.0005092701599403897
286,237.2922,-0.004454627,-0.00043248805825242716,-1.0570482410094,0.00045716074123329904
287,153.6024,-0.006907926,-0.000670672427184466,-1.0610740126223999,0.0007116330834678256
288,228.5006,-0.004628497,-0.00044936864077669897,-1.0576143415981998,0.00047525871914992645
289,230.2838,-0.00461378,-0.00044793980582524264,-1.0624787907639999,0.0004759265432282647
290,248.6751,-0.004245103,-0.00041214592233009705,-1.0556514130352999,0.0004350824252845039
291,220.4901,-0.004777334,-0.0004638188349514563,-1.0533548513934001,0.0004885658199637512
292,202.976,-0.00522445,-0.0005072281553398058,-1.0604379632,0.0005378839919262369
293,157.5836,-0.006744676,-0.0006548229126213591,-1.0628503249135999,0.0006959787454404814
294,223.6142,-0.004751997,-0.00046135893203883493,-1.0626140075574,0.0004902464636961885
295,219.3686,-0.004809802,-0.000466971067961165,-1.0551195310172,0.0004927102942257854
296,194.7373,-0.005435188,-0.0005276881553398058,-1.0584338361124,0.0005585229985273866
297,177.9715,-0.005924331,-0.0005751777669902912,-1.0543620745664999,0.0006064456236484103
298,188.6051,-0.005603445,-0.000544023786407767,-1.0568383045695,0.0005749451760726643
299,331.1372,-0.003189592,-0.00030966912621359225,-1.0561925640224001,0.0003270702284141102
300,219.6585,-0.004811926,-0.00046717728155339804,-1.056980447271,0.0004937972520111606
301,346.7318,-0.003050921,-0.0002962059223300971,-1.0578513299878,0.0003133418288871562
302,221.0247,-0.004782795,-0.00046434902912621356,-1.0571158300365,0.0004908707093514001
303,191.8442,-0.005497848,-0.0005337716504854368,-1.0547302512816,0.0005629851070434991
304,206.932,-0.005091392,-0.0004943099029126214,-1.053571929344,0.0005207910381054958
305,215.9673,-0.004850159,-0.0004708892233009708,-1.0474757438006999,0.0004932450394249182
306,234.404,-0.00448664,-0.00043559611650485433,-1.05168636256,0.0004581104953122522
307,205.2578,-0.005123708,-0.0004974473786407766,-1.0516810319224001,0.0005231559724960249
308,196.048,-0.005402113,-0.0005244769902912621,-1.059073449424,0.0005554596552512848
309,150.7526,-0.006945552,-0.0006743254368932038,-1.0470600224352,0.000706059207082024
